InstitutionIdentifier;InstitutionName;DepartmentIdentifier;DepartmentName
RG;;BSAD;Arbejdsdusør 
RG;;ÆBBO;Bogopsættere 
RG;;BYBY;By- og Regionsråd, medhjælpere 
RZ;Byøkologisk Forum;all;
RG;;BBMV;Dagtilbud Midt Fælles vikarer 
RG;;BBVI;Dagtilbud Nordvest Fælles vikarer 
RG;;BBVN;Dagtilbud Nordøst Fælles vikarer 
RG;;BBFV;Dagtilbud Sydvest Fælles vikarer 
RG;;BBVS;Dagtilbud Sydøst Fælles vikarer 
RG;;BYEV;Europaparlamentet, medhjælpere 
RG;;BYFV;Folkeafstemninger, medhjælpere 
RG;;BYFO;Folketingsvalg, medhjælpere 
RG;;RFRA;Fratrådte i 2012 
RG;;BKFÆ;Fællestillidsmand Skole 
RG;;SDUS;Kontering-Drift og udv. SA 
RG;;BKIN;Kontering-Inklusion/rotationsprojekt 
OU;LAG Randers - Favrskov;all;
RG;;BFZL;Lystruplejren 
BW;Niels Ebbesen;all;
RU;Randers Big Band;all;
CY;Randers Bykor;all;
CP;Kronjyllands Jagtforening Undervisn;all;
OZ;Randers Kunstmuseum;all;
RR;Randers Politiorkester;all;
RZ;Randers Kommune,Byøkologisk Forum;all;
RI;Randers Kommune,Tjenestemandspensionister;all;
BZ;UDGÅET-Dansk Røde Kors Kursusvirksomhed;all;
RG;;FEJL;UDGÅET-Konverteringsafdeling må ikke slettes 
CU;;ZLAG;UDGÅET-LAG Randers 
BA;UDGÅET-Musisk Oplysningsforbund;all;
BZ;UDGÅET-Dansk Røde Kors Kursusvirkso;all;
RM;UDGÅET-Erhverv Randers;all;
CU;UDGÅET-LAG Randers;all;
RV;UDGÅET-Randers Kammerorkester;all;
OV;UDGÅET-Randers Kommune,Kristrup Vuggestue;all;
OR;UDGÅET-Randers Kommune,Randers Børneasyl;all;
OJ;UDGÅET-Randers Kommune,Vorup Børne- og Ungdomshus;all;
OJ;UDGÅET-Vorup Børne- og Ungdomshus;all;
RG;;SBVI;Vielser 
RG;;BSFO;Vikaranvisning Folkeskole 
OI;UDGÅET 010120-Lions Børnehus;all;
CV;;ZÆSA;UDGÅET 010217-Plejecenter Solbakken Adm 
RG;;SBHC;UDGÅET 010116-Bostedet Høvejen afd C 
RG;;TBER;UDGÅET 010116-Brand 
RG;;SHOL;UDGÅET 010116-Børne-/ungegruppen 
RG;;SBCR;UDGÅET 010116-Børnecenter Randers 
RG;;BBTA;UDGÅET 010116-Børnehaven Tagrenden 
RG;;BBUH;UDGÅET 010116-Børnehaven Unoden Harridslev 
RG;;SCVI;UDGÅET 010116-CBR Beskyttet beskæftigelse 
RG;;SMAT;UDGÅET 010116-De matrikelløse Fælles 
RG;;BFUN;UDGÅET 010116-Firkløverskolen Ungdomsafdelingen 
RG;;BFJE;UDGÅET 010116-Firkløverskolen i Jebjerg 
RG;;BFJS;UDGÅET 010116-Firkløverskolen i Jebjerg SFO 
RG;;SHOF;UDGÅET 010116-Fælles 
RG;;KHUS;UDGÅET 010116-Huslejenævnet 
RG;;KCKJ;UDGÅET 010116-Kompetenceudvik og jobrotation 
RG;;BBKO;UDGÅET 010116-Korshøj Børnehave 
RG;;SMS1;UDGÅET 010116-Social Myndighed 
RG;;SBON;UDGÅET 010116-Specialvejlederne 
RG;;STÅS;UDGÅET 010116-Ståstedet 
RG;;STIN;UDGÅET 010116-Støttecenter Infanterivej 
RG;;STSI;UDGÅET 010116-Støttekontaktordning for sindslidende 
RG;;BUKP;UDGÅET 010116-Ungdomsskolen pædagogisk medhjælpere 
RG;;SVOB;UDGÅET 010116-Voksen bo 
RG;;BFEG;UDGÅET 010117-Egehøjvej 34, døgn 
RG;;EFER;UDGÅET 010117-Feriefonden 
RG;;BRUL;UDGÅET 010117-Ungdomsskole Ledelse 
RG;;BYRÅ;UDGÅET 010118-Byråd 
RG;;KØAB;UDGÅET 010118-Forsikringskontoret arbejdsskader 
RG;;SGRO;UDGÅET 010118-Gross Hus 
RG;;SFON;UDGÅET 010118-Mistbænken/Fontænen 
RG;;ÆVGA;UDGÅET 010118-Omr VEST Asferg Mobil dag 
RG;;ÆVUZ;UDGÅET 010118-Omr VEST Langå mobil dag 
RG;;ÆVNA;UDGÅET 010118-Omr VEST mobil aften 
RG;;EVER;UDGÅET 010118-Verdo 
RG;;SVØT;UDGÅET 010118-Værestedet Øster Tørslev 
RG;;SÅB1;UDGÅET 010119-Bosted Åbo 
RG;;SÅB2;UDGÅET 010119-Bosted Åbo adm 
RG;;ÆKHU;UDGÅET 010119-Hadsundvejens Ungdomsklub 
RG;;SHJS;UDGÅET 010119-Hjemmevejlederteam team S 
RG;;SCID;UDGÅET 010119-Hjernecenter Randers-IDV 
RG;;SHM1;UDGÅET 010119-Holberghus Mellerup Enghuset 
RG;;SHM2;UDGÅET 010119-Holberghus Mellerup Enghuset Aflastnin 
RG;;SHMB;UDGÅET 010119-Holberghus Mellerup Fjordhuset 
RG;;SHMN;UDGÅET 010119-Holberghus Mellerup Nattevagter 
RG;;SHMV;UDGÅET 010119-Holberghus Mellerup Timelønnet vikar 
RG;;SMKN;UDGÅET 010119-Mellerup Skolehjem Fiskerhuset 
RG;;SMKR;UDGÅET 010119-Mellerup Skolehjem Færgehuset 
RG;;SMFO;UDGÅET 010119-Mellerup Skolehjem Lodshuset 
RG;;SMSK;UDGÅET 010119-Mellerup Skolehjem Skolen 
RG;;SMGÅ;UDGÅET 010119-Mellerup Skolehjem Skovhuset 
RG;;SBG1;UDGÅET 010120-Bofællesskabet Garnisonsvej 
RG;;BFZF;UDGÅET 010120-FamilieCentret flygtning 
RG;;SHJF;UDGÅET 010120-Hjemmevejlederteamet fælles 
RG;;SMAA;UDGÅET 010120-Marienborgvej Aktivitetscenter 
RG;;ÆSDA;UDGÅET 010120-Omr SYD Dragonparken mobil aften 
RG;;BRPU;UDGÅET 010120-Projekter og Udvikling 
RG;;SBOF;UDGÅET 010121-Botilbud og opsøgende arbejde CPI-Fæll 
RG;;SNOL;UDGÅET 010121-Botilbuddene R.Nord-Fælles gr. 200 
RG;;SSYL;UDGÅET 010121-Botilbuddene Randers Syd-Fælles 
RG;;BBLA;UDGÅET 010121-Børnehaven Fuglereden 
RG;;BBRU;UDGÅET 010121-Børnehaven Rubjerg 
RG;;TRCI;UDGÅET 010121-EDS-CIT-City 
RG;;TRCØ;UDGÅET 010121-EDS-CIØ-City Øst 
RG;;TRHA;UDGÅET 010121-EDS-HAR-Harridslev 
RG;;TRHD;UDGÅET 010121-EDS-HAV-Havndal 
RG;;TRHO;UDGÅET 010121-EDS-HOR-Hornbæk 
RG;;TRKI;UDGÅET 010121-EDS-KRI-Kristrup 
RG;;TRNO;UDGÅET 010121-EDS-RNO-Randers Nord 
RG;;TRNV;UDGÅET 010121-EDS-RNV-Randers Nordvest 
RG;;TRVE;UDGÅET 010121-EDS-RVE-Randers Vest 
RG;;TRSP;UDGÅET 010121-EDS-SPE-Spentrup 
RG;;TRST;UDGÅET 010121-EDS-STE-Stevnstrup 
RG;;TRVO;UDGÅET 010121-EDS-VOR-Vorup 
RG;;TRØB;UDGÅET 010121-EDS-ØSB-Øster Bjerregrav 
RG;;BFFK;UDGÅET 010121-Firkløverskolen Konsulentteamet 
RG;;SCVE;UDGÅET 010121-IV2 CBR Vestervang 
RG;;SCSI;UDGÅET 010121-IV2 Snedkeri 
RG;;SNE3;UDGÅET 010121-Neptunvej Arbejdsfællesskab 3 
RG;;BRUN;UDGÅET 010121-Projekt RUN 
RG;;TVEJ;UDGÅET 010121-Veje og Bygninger 
RG;;SYIN;UDGÅET 010121-Ydelseskontor-integration 
RG;;BZRB;UDGÅET 010122-Børnehaven og Vuggestuen Rådmands B 
RG;;BZMA;UDGÅET 010122-Børnehuset Mariendal 
RG;;SJI6;UDGÅET 010122-JCR Integration 
RG;;SJOB;UDGÅET 010122-JCR Jobhuset 
RG;;SDPO;UDGÅET 010122-JCR Sygedagpenge opfølgning 
RG;;SAKI;UDGÅET 010122-JCR Uddannelseshuset 
RG;;SJUD;UDGÅET 010122-JCR Udviklingshuset 
RG;;BZVF;UDGÅET 010122-Vorup Børne- og Ungdomshus fritidshjem 
RG;;BZVJ;UDGÅET 010122-Vorup Børne- og Ungdomshus juniorklub 
RG;;BZVU;UDGÅET 010122-Vorup Børne- og Ungdomshus ungdomsklub 
RG;;ÆSGU;UDGÅET 010222-Omr SYD Huset Nyvang 
RG;;ÆSGN;UDGÅET 010222-Omr SYD Huset Nyvang Nattevagter 
RG;;ÆSGB;UDGÅET 010222-Omr SYD Huset Nyvang Rindsvej 6A 
RG;;ÆSGA;UDGÅET 010222-Omr SYD Huset Nyvang Rindsvej 6B 
RG;;ÆSGS;UDGÅET 010222-Omr SYD Huset Nyvang Rindsvej 6C 
RG;;ÆSGR;UDGÅET 010222-Omr SYD Huset Nyvang Rindsvej 6D 
RG;;ÆSGI;UDGÅET 010222-Omr SYD Huset Nyvang Tværgående teams 
RG;;KEUS;UDGÅET 010318-Erhvervs- og udviklingssekretariat 
RG;;KBOR;UDGÅET 010418-Borgerservice 
RG;;KØVI;UDGÅET 010418-Vielser 
RG;;ÆNTA;UDGÅET 010520-Omr NORD Aktivitet 
RG;;ÆNTT;UDGÅET 010520-Omr NORD Terapeuter 
RG;;ÆBTS;UDGÅET 010520-Omr SYD Borgerteam frit valg 
RG;;ÆSAS;UDGÅET 010520-Omr SYD Træning og aktivitet Assentoft 
RG;;ÆSAT;UDGÅET 010520-Omr SYD Træning og aktivitet Tirsdalen 
RG;;ÆSAV;UDGÅET 010520-Omr SYD Træning og aktivitet Vorup 
RG;;BLS2;UDGÅET 010715-Juniorklub Langå 
RG;;SPFÆ;UDGÅET 010721-Center for psykiatri-Fælles 
RG;;SSM6;UDGÅET 010721-Center for socialt udsatte myndighed-H 
RG;;BTJ1;UDGÅET 010815-Tirsdalens Skole Juniorklub 
RG;;BTS2;UDGÅET 010815-Tirsdalens Skole SFO 
RG;;SHLA;UDGÅET 010816-Holberghus Ludvig Aflastning 
RG;;SHLF;UDGÅET 010816-Holberghus Ludvig Fastboende 
RG;;SHMI;UDGÅET 010816-Holberghus Midlertidlige ansættelser 
RG;;SHST;UDGÅET 010816-Holberghus Stella 
RG;;STAP;UDGÅET 010816-Holberghus TAP 
RG;;SHNA;UDGÅET 010816-Holberghus nattevagter 
RG;;SHTI;UDGÅET 010816-Holberghus vikarer, timelønnet 
RG;;SMSF;UDGÅET 010820-Mellerup Skoledel fastansatte 
RG;;SMSM;UDGÅET 010820-Mellerup Skoledel midlertidige 
RG;;SMSV;UDGÅET 010820-Mellerup Skoledel vikarer 
RG;;BBSK;UDGÅET 010917-Børnehaven Skovly 
RG;;ÆBFO;UDGÅET 010919-Bibliotek Formidling 
RG;;ÆBUF;UDGÅET 010919-Bibliotek Kommunikation 
RG;;ÆBLO;UDGÅET 010919-Bibliotek Logistik 
RG;;ÆBRE;UDGÅET 010919-Bibliotek Rengøring 
RG;;ÆBSE;UDGÅET 010919-Bibliotek Sekretariat 
RG;;BDGJ;UDGÅET 011016-Dagplejere - Gjerlev Hald og Mejlby 
RG;;EKSS;UDGÅET 011017-Eksterne skånejob 
RG;;ÆNEH;UDGÅET 011017-Omr NORD Harridslev mobil dag 
RG;;TRÅD;UDGÅET 011021-Rengøring 
RG;;ÆNBT;UDGÅET 050421-Omr NORD Bakkegården Rosenvænget Timel 
RG;;ÆNBA;UDGÅET 050421-Omr NORD Bakkegården aften - nat 
RG;;ÆNFA;UDGÅET 050421-Omr NORD Distrikt Bakkegården mobil af 
RG;;ÆNGA;UDGÅET 050421-Omr NORD Distrikt Møllevang mobil afte 
RG;;ÆNÆH;UDGÅET 050421-Omr NORD Møllebo - Rækkehuse  dag - hj 
RG;;ÆNMA;UDGÅET 050421-Omr NORD Møllevang  aften 
RG;;ÆNÅB;UDGÅET 050421-Omr NORD Åbakken B C F H 
RG;;ÆNÅT;UDGÅET 050421-Omr NORD Åbakken Timeløn 
RG;;ÆNÅD;UDGÅET 050421-Omr NORD Åbakken demens 
RG;;ÆNÅR;UDGÅET 050421-Omr NORD Åbakken rengøring  aften-nat 
RG;;ÆVUS;UDGÅET 050421-Omr VEST Fladbro ude 
RG;;ÆVUH;UDGÅET 050421-Omr VEST Flyvere ude 
RG;;ÆNGP;UDGÅET 2015-Omr NORD Spentrup - Møllevang mobil psyk 
RG;;BBNV;UDGÅET 2015-Vuggestuen Nyvang 
RG;;TKEN;UDGÅET 300915-Klima og Energi 
RG;;BKHU;UDGÅET 310715 Hadsundvejens Ungdomsskole 
RG;;BBFO;UDGÅET 310715-Bibliotek Formidling 
RG;;BBLO;UDGÅET 310715-Bibliotek Logistik 
RG;;BBSE;UDGÅET 310715-Bibliotek Sekretariat 
RG;;BBUF;UDGÅET 310715-Bibliotek Udvikling 
RG;;BGS2;UDGÅET 310715-Børnehuset Grøftekanten SFO 
RG;;BKFR;UDGÅET 310715-Fritidscentret 
RG;;BGS1;UDGÅET 310715-Gjerlev-Enslev Skole 
RG;;BHS1;UDGÅET 310715-Hadsundvejens Skole 
RG;;BHS2;UDGÅET 310715-Hadsundvejens Skole SFO 
RG;;BBIB;UDGÅET 310715-Kontering-Bibliotek 
